NIS,NISN,Nama,Tempat Lahir,Tanggal Lahir,JK,Agama,Alamat,Telepon Siswa,Diterima Tanggal,Nama Ayah,Nama Ibu,Pekerjaan Ayah,Pekerjaan Ibu,Penghasilan Ibu,Nama Wali,Pekerjaan Wali,NIK Siswa,pelengkap_siswa_id,peserta_didik_id,status_dalam_kel,anak_ke,sekolah_asal,diterima_kelas,alamat_ortu,telepon_ortu,alamat_wali,telepon_wali
17151236,4463369049,Harto Sudiati,Pariaman,2016-12-09,L,Konghucu,"Gang Monginsidi No. 3, Langsa, RI 91797",+62 (0493) 889 1383,2021-03-31,Safina Wastuti,Lega Pratiwi,TEFL teacher,Make,<1jt,Tiara Damanik,"Engineer, building services",3997666709947094,90abc45e-0e46-4a47-bcc5-df02d33750d3,46ae640b-a345-485b-a57b-6ae153a7ef4e,Anak Kandung,4,PT Halim Tbk School,1,"Gang Cikutra Barat No. 066, Pangkalpinang, MA 85888",0871934002,"Gang Suryakencana No. 3, Padang, Kalimantan Tengah 06658",+62 (23) 443-9026
13924654,6397615103,Zulfa Saefullah,Tual,2010-07-21,P,Konghucu,"Jl. Kutisari Selatan No. 696, Binjai, Riau 58458",(083) 379 1252,2023-01-09,Ir. Amalia Oktaviani,Rika Mustofa,Osteopath,Scientific laboratory technician,1-3jt,Farhunnisa Astuti,Television camera operator,7194736127370493,efbae148-fed0-4df8-8d4a-9af50968ca1a,e7686270-9f99-443d-9818-48a276ca48b0,Anak Angkat,2,Perum Marpaung School,5,"Gg. Cikutra Timur No. 8, Singkawang, Kalimantan Selatan 23623",+62 (20) 851 2587,"Jl. PHH. Mustofa No. 583, Bontang, YO 24150",+62 (0329) 153 7104
14558312,8494775157,Endah Rahmawati,Bau-Bau,2016-02-26,P,Katolik,"Jalan Sadang Serang No. 7, Surabaya, BA 49034",+62-17-769-6462,2022-07-05,Dr. Nadia Kuswandari,"Cut Yuni Astuti, M.Ak",Warehouse manager,"Engineer, materials",1-3jt,Maimunah Pertiwi,Holiday representative,6792806456355704,d586a96c-fc2c-49ed-aebc-558f6caa261d,bdb9baac-1ba2-4209-b550-a4f3d1e20fa4,Anak Kandung,5,UD Novitasari (Persero) Tbk School,4,"Jalan Ciumbuleuit No. 518, Denpasar, Jawa Tengah 97927",+62-997-091-7631,"Jalan Rawamangun No. 260, Mataram, Lampung 27177",+62 (32) 279-5988
14598283,4858808126,R. Fathonah Dongoran,Malang,2015-10-14,P,Budha,"Jl. Rawamangun No. 7, Palopo, SU 88881",+62 (952) 636-7779,2022-09-24,Teddy Hastuti,Umi Palastri,"Research officer, trade union",Research scientist (life sciences),<1jt,"Ifa Thamrin, M.Kom.",Lobbyist,2062764371276366,f8937d3e-cdea-426f-b76a-96f6c0efd1f1,c45f9e3a-79ff-41af-934a-84b8466b1bc6,Anak Angkat,4,UD Yulianti Anggriawan School,3,"Gang Ciumbuleuit No. 78, Pariaman, Bengkulu 80344",+62-067-331-4230,"Gg. Sukabumi No. 4, Depok, Papua 34385",+62 (99) 411 0328
94489166,6461600664,Oni Lazuardi,Bukittinggi,2017-10-18,L,Katolik,"Jl. Kebonjati No. 95, Probolinggo, ST 99488",+62-033-609-9514,2024-10-03,Tomi Nashiruddin,Zelaya Rajata,"Engineer, agricultural",Medical secretary,3-5jt,Chelsea Prasasta,Paediatric nurse,5251243642233978,bcdc8452-e32d-445a-a6b9-f0d66540afb2,f1477358-b166-4f3d-8cea-96ffc5ad24fd,Anak Angkat,5,PT Mandala School,3,"Gg. Tebet Barat Dalam No. 34, Madiun, NB 64372",+62-17-586-6003,"Jalan Jend. A. Yani No. 81, Singkawang, MA 53078",+62 (097) 409 4352
62738259,8137679830,Ir. Karen Siregar,Tidore Kepulauan,2014-03-23,P,Budha,"Gg. Rumah Sakit No. 7, Pariaman, LA 12010",+62 (0074) 790-2392,2024-09-19,Drs. Heryanto Mahendra,Belinda Hasanah,Microbiologist,"Administrator, Civil Service",<1jt,"Puti Ika Rajasa, S.Kom","Optician, dispensing",9457080997803586,b8e7cfe7-3314-48b3-8787-9aa505180e59,f3f8781d-d5a0-4b19-8e2a-e0f6e62d5c01,Anak Angkat,1,Perum Putra School,6,"Jalan Jend. A. Yani No. 4, Sawahlunto, KU 19309",+62 (0876) 667-2383,"Jl. Indragiri No. 14, Denpasar, BB 16204",+62 (015) 238 6197
72259517,4403679459,Daniswara Yuniar,Tual,2006-12-19,L,Islam,"Gang Joyoboyo No. 741, Kota Administrasi Jakarta Selatan, KR 05418",083 838 1807,2022-07-06,Cut Aurora Saefullah,Edi Tamba,Land,Dietitian,>5jt,Satya Kuswoyo,Visual merchandiser,5764485708918194,95f64212-e164-4fc6-bda9-9143d03174fc,888e9b3d-95dd-471e-be8a-41e1b1b2174e,Anak Kandung,5,PT Usada Hasanah Tbk School,5,"Jl. Tubagus Ismail No. 03, Denpasar, AC 10938",+62 (762) 427-0715,"Gang M.H Thamrin No. 628, Madiun, MU 01542",+62 (0206) 094 6596
85464426,7853173734,Dr. Genta Dongoran,Bitung,2016-11-07,P,Hindu,"Jl. Ronggowarsito No. 2, Kotamobagu, KT 90016",+62-055-434-7145,2020-08-24,"Dr. Wani Tamba, M.TI.",Zelaya Aryani,Planning and development surveyor,Glass blower/designer,<1jt,"Uchita Tamba, M.TI.","Teacher, music",9402857374251503,3117e6af-714a-4ef5-a985-049c8f3e7b24,24ee58e4-c127-46a8-8f07-e71c82eeff64,Anak Tiri,2,UD Maryati Marbun Tbk School,4,"Jl. Raya Setiabudhi No. 32, Denpasar, JT 97353",+62 (062) 299 8445,"Gg. Waringin No. 82, Sawahlunto, KB 48008",+62-0901-727-8502
26677085,9581378528,Hasna Rahayu,Bau-Bau,2011-08-15,P,Katolik,"Gang Jayawijaya No. 607, Magelang, Bengkulu 13925",+62 (609) 658 6290,2022-09-25,H. Saiful Saragih,Ellis Purnawati,"Accountant, chartered certified","Therapist, drama",>5jt,"Ir. Pangestu Lestari, M.Ak","Conservator, museum/gallery",1262878478349590,67bd7954-97e2-409b-adf4-b1a8752c6371,a915b18b-699a-4387-92e9-83db21857faa,Anak Angkat,4,PT Kusumo Halim Tbk School,4,"Jl. S. Parman No. 84, Banjarmasin, KU 46156",(030) 195-4420,"Gang Dipatiukur No. 8, Tasikmalaya, SS 69947",(0602) 155-6506
55396450,9727767945,Cornelia Maheswara,Tebingtinggi,2010-09-02,L,Hindu,"Gg. Rajawali Timur No. 0, Ambon, Sulawesi Tenggara 00407",+62 (18) 202-1993,2020-05-22,Putri Prasetyo,"Queen Purnawati, M.Ak",Holiday representative,Environmental health practitioner,>5jt,Jamalia Tamba,Planning and development surveyor,4962521402722719,4a254297-2547-41fb-9473-e1c7e9cb87f4,918fad19-40c1-48c0-a0ba-00884ae57f53,Anak Angkat,3,UD Hasanah Saptono School,2,"Jl. Jakarta No. 84, Tual, Sulawesi Selatan 99634",080 481 4267,"Jl. Setiabudhi No. 437, Tarakan, KB 81141",+62-0228-605-5237
